City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,kaeo,-35.1,173.7833,21.57,66,61,3.23,NZ,1681348775
112,tabas,33.5959,56.9244,25.78,21,82,5.5,IR,1681348304
113,tasiilaq,65.6145,-37.6368,2.09,93,100,2.23,GL,1681348286
114,mumford,5.2618,-0.759,27.11,84,99,3.29,GH,1681348775
115,dunedin,-45.8742,170.5036,12.67,88,100,1.79,NZ,1681348775
116,victoria,22.2855,114.1577,24.98,85,100,1.34,HK,1681348082
117,buraydah,26.326,43.975,16.25,27,100,3.86,SA,1681348775
118,antofagasta,-23.65,-70.4,19.6,84,29,2.86,CL,1681348491
119,mount isa,-20.7333,139.5,30.87,27,82,5.14,AU,1681348775
120,lata,40.1629,-8.3327,12.67,70,100,1.76,PT,1681348315
121,pisco,-13.7,-76.2167,24.03,78,0,8.23,PE,1681348320
122,havelock,34.8791,-76.9013,17.75,61,0,4.12,US,1681348776
123,barrow,71.2906,-156.7887,-19.99,71,0,4.63,US,1681348288
124,yafran,32.0633,12.5286,16.6,19,0,3.83,LY,1681348777
125,anniston,33.6598,-85.8316,17.76,52,0,0.0,US,1681348506
126,atasu,48.6814,71.6433,6.11,40,48,2.36,KZ,1681348497
127,hasaki,35.7333,140.8333,17.94,33,0,3.09,JP,1681348323
128,koutsouras,35.0339,25.9469,12.28,70,0,2.24,GR,1681348777
129,sterling,39.0062,-77.4286,22.35,46,0,1.54,US,1681348778
130,prince rupert,54.3161,-130.3201,4.61,81,100,2.72,CA,1681348237
131,mogadishu,2.0371,45.3438,27.89,76,100,5.25,SO,1681348309
132,waipawa,-41.4122,175.5153,15.63,73,42,3.2,NZ,1681348778
133,eirunepe,-6.6603,-69.8736,24.59,90,100,1.02,BR,1681348778
134,churapcha,62.0025,132.4325,-1.36,74,100,3.95,RU,1681348778
135,itaituba,-4.2761,-55.9836,25.4,84,100,0.71,BR,1681348340
136,roma,43.2128,-75.4557,17.51,63,0,0.0,US,1681348778
137,kalmunai,7.4167,81.8167,26.47,83,11,0.46,LK,1681348295
138,blairmore,49.6,-114.4353,4.77,28,83,1.54,CA,1681348779
139,iqaluit,63.7506,-68.5145,-8.68,95,100,2.65,CA,1681348270
140,chulman,56.8479,124.9104,-5.22,85,100,3.87,RU,1681348779
141,nampula,-15.1165,39.2666,20.97,100,75,3.09,MZ,1681348779
142,dikson,73.5069,80.5464,-21.77,92,24,8.28,RU,1681348308
143,cidreira,-30.1811,-50.2056,23.27,79,11,3.12,BR,1681348285
144,jiuquan,39.7432,98.5174,9.27,38,100,3.38,CN,1681348779
145,kholodnyy,62.7167,147.95,-12.22,68,44,0.97,RU,1681348779
146,beckley,37.7782,-81.1882,14.01,53,0,0.96,US,1681348779
147,saint-philippe,-21.3585,55.7679,23.77,83,34,0.44,RE,1681348297
148,chuy,-33.6971,-53.4616,17.04,73,96,5.74,UY,1681348279
149,marsh harbour,26.5412,-77.0636,22.96,85,100,10.52,BS,1681348296
150,verkhoyansk,67.5447,133.385,-13.9,84,90,0.16,RU,1681348251
151,arraial do cabo,-22.9661,-42.0278,24.16,86,100,8.17,BR,1681348321
152,bara,10.3744,10.7288,25.92,20,6,3.39,NG,1681348323
153,opuwo,-18.0607,13.84,22.67,36,100,2.27,NA,1681348780
154,kabalo,-6.05,26.9167,21.15,97,100,0.28,CD,1681348780
155,ranong,9.9658,98.6348,27.96,81,84,2.27,TH,1681348780
156,saldanha,-33.0117,17.9442,15.59,78,100,1.92,ZA,1681348351
157,bobrov,51.0961,40.0333,8.76,68,100,6.26,RU,1681348780
158,najran,17.4924,44.1277,23.95,51,17,2.28,SA,1681348307
159,tautira,-17.7333,-149.15,26.84,76,15,5.38,PF,1681348780
160,voh,-20.9667,164.7,27.82,70,64,2.65,NC,1681348780
161,kendari,-3.945,122.4989,28.67,77,99,1.75,ID,1681348780
162,hanna,51.6334,-111.9018,3.81,68,79,5.36,CA,1681348780
163,carnarvon,-24.8667,113.6333,22.66,71,10,9.22,AU,1681348250
164,port augusta,-32.5,137.7667,18.49,56,45,4.75,AU,1681348390
165,hamilton,39.1834,-84.5333,20.47,46,0,2.57,US,1681348623
166,carutapera,-1.195,-46.02,24.33,94,85,2.21,BR,1681348353
167,lavrentiya,65.5833,-171.0,-12.82,74,51,2.03,RU,1681348781
168,olinda,-8.0089,-34.8553,26.85,78,40,4.12,BR,1681348781
169,mahbubabad,17.6167,80.0167,27.61,41,0,2.15,IN,1681348781
170,tadine,-21.55,167.8833,27.54,72,23,2.01,NC,1681348781
171,vardo,70.3705,31.1107,-1.01,74,12,6.69,NO,1681348150
172,lompoc,34.6391,-120.4579,14.88,74,40,10.29,US,1681348158
173,hoi an,15.8794,108.335,26.98,83,93,2.27,VN,1681348781
174,tazovskiy,67.4667,78.7,-16.43,94,100,6.94,RU,1681348781
